DistrictId,SourceUrl,SourceFile,FiscalYear,FteType,GradeLevel,Fte
40,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,70.25
41,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,470.9800109863281
42,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,192.36000061035156
43,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,65.61000061035156
44,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,60.849998474121094
45,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,70.5199966430664
46,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,237.8300018310547
47,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,34.5099983215332
48,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,778.6199951171875
49,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,316.010009765625
50,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,1060.9300537109375
51,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,445.4100036621094
52,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,917.8699951171875
53,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,520.3900146484375
54,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,118.48999786376953
55,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,203.94000244140625
56,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,116.06999969482422
57,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,215.30999755859375
58,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,289.07000732421875
59,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,372.3699951171875
60,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,38.439998626708984
61,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,55.63999938964844
62,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,34.0099983215332
63,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,8.34000015258789
64,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,266.44000244140625
65,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,285.010009765625
66,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,71.80999755859375
67,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,17.639999389648438
68,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,0
69,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,0
70,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,0
71,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,0
72,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,0
73,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,0
74,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,0
75,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,0
99,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,17932.740234375
1,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,2188.070068359375
2,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,426.5799865722656
3,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,2012.1300048828125
4,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,281.9599914550781
5,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,4963.2001953125
6,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,15851.66015625
7,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,193.3000030517578
8,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,1091.7900390625
9,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,1114.7099609375
10,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,2426.489990234375
11,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,3346.090087890625
12,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,864.9199829101562
13,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,21472.48046875
14,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,428.19000244140625
15,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,173.08999633789062
16,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,10148.73046875
17,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,3417.360107421875
18,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,760.510009765625
19,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,73
20,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,502.07000732421875
21,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,200.99000549316406
22,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,126.61000061035156
23,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,144.27999877929688
24,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,146.77999877929688
25,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,498
26,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,580.5
27,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,1542.97998046875
28,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,1088.719970703125
29,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,15520.0703125
30,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,285.7699890136719
31,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,1147.2900390625
32,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,587.4500122070312
33,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,98.5
34,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,94
35,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,3035.969970703125
36,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,5984.91015625
